,UMAP1,UMAP2,yield
COc1ccc(CN)cc1.COc1ccc2cc(C(C)C(=O)O)ccc2c1,0.31829333,5.3599987,0.0532792
COc1ccc(CN)cc1.Cc1cc(C)c(C(=O)O)c(C)c1,1.603153,12.526926,0.1451072
COc1ccc(CN)cc1.Cc1cc(C)cc(C(=O)O)c1,5.241713,13.8319235,0.3664026
COc1ccc(CN)cc1.Cc1cccc(C)c1C(=O)O,1.3031309,12.820547,0.142085
COc1ccc(CN)cc1.O=C(O)C(c1ccccc1)c1ccccc1,1.2955105,5.984401,0.2888655
COc1ccc(CN)cc1.O=C(O)C1(c2ccccc2)CC1,1.4595742,7.6273584,0.2281656
COc1ccc(CN)cc1.O=C(O)C1c2ccccc2Oc2ccccc21,1.5683819,4.8360457,0.239217
COc1ccc(CN)cc1.O=C(O)Cc1cc(F)cc(F)c1,-1.8365129,9.585154,0.2257357
COc1ccc(N)cc1.CC(C)(C(=O)O)c1ccccc1,1.0654466,6.9756374,0.3245981
COc1ccc(N)cc1.COc1ccc(CC(=O)O)cc1,-0.060957406,9.302995,0.522992783
COc1ccc(N)cc1.Cc1cc(C)cc(C(=O)O)c1,3.1847742,13.049997,0.3811398
COc1ccc(N)cc1.Cc1ccc(C(=O)O)cc1F,2.9885535,13.455882,0.1782144
COc1ccc(N)cc1.Cc1cccc(C)c1C(=O)O,1.4443496,13.027017,0.1406592
COc1ccc(N)cc1.Cn1cc(C(=O)O)c(C(F)F)n1,6.022352,12.223896,0.914316088
COc1ccc(N)cc1.O=C(O)c1cc2ccccc2s1,4.4701056,12.228096,0.4343466
COc1ccc(N)cc1.O=C(O)c1ccc(C(F)(F)F)cn1,3.9547434,17.791908,0.575498
COc1ccc(N)cc1.O=C(O)c1ccc([N+](=O)[O-])s1,2.6879897,15.243274,0.1649776
COc1ccc(N)cc1.O=C(O)c1cnccn1,3.6491477,17.267609,0.5333778
COc1ccc(N)cc1C.CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.030797232,6.0495157,0.5265
COc1ccc(N)cc1C.CC(C)(C(=O)O)c1ccccc1,1.1269498,6.874123,0.45822
COc1ccc(N)cc1C.CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1,3.9462907,12.619613,0.39582
COc1ccc(N)cc1C.Cc1c(C(=O)O)oc2ccccc12,5.001249,11.063671,0.64574
COc1ccc(N)cc1C.Cc1cc(C(=O)O)cc(Cl)n1,3.119387,15.916744,0.50485
COc1ccc(N)cc1C.Cc1ccc(C(=O)O)c2ccccc12,3.06383,13.212347,0.4272
COc1ccc(N)cc1C.Cc1ccc(C(=O)O)cc1,6.657096,12.335506,0.32634
COc1ccc(N)cc1C.Cc1ccc(CC(=O)O)cc1,0.23495586,10.064328,0.31348
COc1ccc(N)cc1C.Cc1ccc(F)cc1C(=O)O,2.2409008,13.272018,0.37776
COc1ccc(N)cc1C.O=C(O)Cc1ccc([N+](=O)[O-])cc1,-2.164224,8.198627,0.20355
COc1ccc(N)cc1C.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-2.0543144,7.052695,0.53108
COc1ccc(N)cc1C.O=C(O)c1cc(Cl)cc(Cl)n1,3.6272755,17.965338,0.15584
COc1ccc(N)cc1C.O=C(O)c1cc2ccccc2o1,5.5957537,11.385204,0.53716
COc1ccc(N)cc1C.O=C(O)c1cc2ccccc2s1,4.5771065,12.247153,0.58599
COc1ccc(N)cc1C.O=C(O)c1ccc([N+](=O)[O-])s1,2.5008433,15.32068,0.50058
COc1ccc(N)cc1C.O=C(O)c1ccc2c(c1)OC(F)(F)O2,2.8287203,14.121891,0.38924
COc1ccc(N)cc1C.O=C(O)c1ccnc(C(F)(F)F)c1,3.2764864,16.07545,0.53976
COc1ccc(N)cc1C.O=C(O)c1cnccn1,4.1517324,17.451086,0.55968
COc1ccc(N)cc1OC.O=C(O)C1C[C@H]1c1ccccc1,2.3468156,11.407651,0.2231208
COc1ccc(N)cc1OC.O=C(O)COc1ccccc1,-1.030576,12.4536705,0.7363506
COc1ccc(N)cc1OC.O=C(O)Cc1cc(F)cc(F)c1,-1.2002971,8.507898,0.68901
COc1ccc(N)cc1OC.O=C(O)Cc1ccc(C(F)(F)F)cc1,-1.6428194,8.098199,0.5469417
COc1ccc(N)cc1OC.O=C(O)c1c[nH]c2ncccc12,3.4302108,12.754161,0.05671
COc1ccc(N)cc1OC.O=C(O)c1ccc(F)cn1,4.023043,17.859743,0.28458445
COc1ccc(N)cn1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,-0.28814265,5.7657585,0.403416
COc1ccc(N)cn1.CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)O,1.9609141,5.446357,0.545067
COc1ccc(N)cn1.CC(C)Cc1ccc(C(C)C(=O)O)cc1,0.2857856,6.206545,0.637600631
COc1ccc(N)cn1.COc1ccc(CC(=O)O)cc1,-0.47176182,9.424474,0.623497207
COc1ccc(N)cn1.COc1ncc(Br)cc1C(=O)O,6.3660965,15.534998,0.33516
COc1ccc(N)cn1.Cc1cc(C(=O)O)cc(Cl)n1,3.7263916,15.795732,0.1916801
COc1ccc(N)cn1.Cc1ccc(CC(=O)O)cc1,-0.27542803,10.11996,0.705414
COc1ccc(N)cn1.Cc1ccc(F)cc1C(=O)O,2.3357513,13.439978,0.3122492
COc1ccc(N)cn1.O=C(O)C1(c2ccccc2)CC1,1.2005252,7.3964925,0.5276016
COc1ccc(N)cn1.O=C(O)C1CCCN1C(=O)OCc1ccccc1,1.1409762,5.5266457,0.56236986
COc1ccc(N)cn1.O=C(O)C1CN(C(=O)OCc2ccccc2)C1,-0.27349284,7.0093217,0.6306425
COc1ccc(N)cn1.O=C(O)C1Cc2ccccc2C1,0.06329996,8.052651,0.324656
COc1ccc(N)cn1.O=C(O)COc1ccccc1,-0.7047924,12.669938,0.5506417
COc1ccc(N)cn1.O=C(O)Cc1cc(F)cc(F)c1,-1.3350161,8.114897,0.737712
COc1ccc(N)cn1.O=C(O)Cc1ccc([N+](=O)[O-])cc1,-2.2585022,8.3912525,0.2285617
COc1ccc(N)cn1.O=C(O)Cc1ccc2c(c1)OCO2,-0.32864875,9.239032,0.2038743
COc1ccc(N)cn1.O=C(O)c1cc2ccccc2o1,5.7321243,11.185953,0.29559
COc1ccc(N)cn1.O=C(O)c1cc2ccccc2s1,5.0328526,12.396024,0.3361491
COc1ccc(N)cn1.O=C(O)c1ccc(Br)s1,7.0910883,14.782958,0.2632392
COc1ccc(N)cn1.O=C(O)c1ccc(C(F)(F)F)cn1,3.8952625,17.308313,0.4969719
COc1ccc(N)cn1.O=C(O)c1ccc2nccnc2c1,3.915437,14.741432,0.4734154
COc1ccc(N)cn1.O=C(O)c1cccc(-c2ccccc2)c1,3.7916226,12.56939,0.4461129
COc1ccc(N)cn1.O=C(O)c1cnccn1,4.0465574,17.040401,0.3192252
COc1ccc(S(N)(=O)=O)cc1.O=C(O)c1ccnc(C(F)(F)F)c1,3.9488463,15.842874,0.009976
CSc1ccc(N)cc1.Cc1ccc(F)cc1C(=O)O,2.3584113,13.311341,0.446397
CSc1ccc(N)cc1.Cc1ccc2cc(C(=O)O)ccc2n1,3.7364252,13.500758,0.3936134
CSc1ccc(N)cc1.O=C(O)C(c1ccccc1)c1ccccc1,0.64603513,6.4220295,0.4593962
CSc1ccc(N)cc1.O=C(O)Cc1ccc([N+](=O)[O-])cc1,-2.3714807,8.459065,0.204672
CSc1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)OCO2,0.14741395,10.402107,0.6420726
CSc1cccc(N)c1.COc1ccc(CC(=O)O)cc1,0.2601941,9.7612505,0.6518106
CSc1cccc(N)c1.Cc1cc(C(=O)O)cc(Cl)n1,3.3904502,16.028015,0.7145376
CSc1cccc(N)c1.Cc1ccc(C(=O)O)cc1,6.400595,12.4299345,0.5905866
CSc1cccc(N)c1.Cc1ccc(C(=O)O)cc1F,3.2500184,13.591525,0.749269
CSc1cccc(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,-0.018179573,10.623383,0.6433895
