Reaction #,Prod_Smiles,ArX_Smiles,Acid_Smiles,CAD Yield
478,COC(=O)CC1CCc2cc(C(C)NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CC(NC(=O)OC(C)(C)C)C(=O)O,0.0
479,COC(=O)CC1CCc2cc(C(C)NC(=O)c3ccccc3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,C[C@@H](NC(=O)c1ccccc1)C(=O)O,1.2
480,COC(=O)CC1CCc2cc(C(CO)NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CC(C)(C)OC(=O)N[C@H](CO)C(=O)O,1.9
481,COC(=O)CC1CCc2cc(C(CO)NC(=O)OCc3ccccc3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(N[C@H](CO)C(=O)O)OCc1ccccc1,4.7
482,COC(=O)CC1CCc2cc(C3CCCN3C(C)=O)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CC(=O)N1CCCC1C(=O)O,7.7
483,COC(=O)CC1CCc2cc(CCCCCCNC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CC(C)(C)OC(=O)NCCCCCCC(=O)O,9.2
486,CCCCCCCC/C=C\CCCCCCCc1cc2c3c(c1)[nH]c(=O)c(=O)n3C(CC(=O)OC)CC2,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CCCCCCCC/C=C\CCCCCCCC(=O)O,0.0
487,COC(=O)CC1CCc2cc(C(CCC(N)=O)NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CC(C)(C)OC(=O)N[C@@H](CCC(N)=O)C(=O)O,0.0
488,COC(=O)CC1CCc2cc(C(Cc3ccc(OC(C)(C)C)cc3)NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(OC(C)(C)C)cc1)C(=O)O,4.2
489,COC(=O)CC1CCc2cc(C(Cc3c[nH]c4ccccc34)NC(=O)OCc3ccccc3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)OCc1ccccc1,1.4
490,COC(=O)CC1CCc2cc(C(Cc3cn(Cc4ccccc4)cn3)NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CC(C)(C)OC(=O)N[C@@H](Cc1cn(Cc2ccccc2)cn1)C(=O)O,30.8
491,COC(=O)CC1CCc2cc(Cc3cccnc3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)Cc1cccnc1,54.6
492,COC(=O)CC1CCc2cc(CC[C@@H](C)[C@H]3CC[C@H]4[C@@H]5C(=O)C[C@@H]6CC(=O)CC[C@]6(C)[C@H]5CC(=O)[C@]34C)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,3.6
493,COC(=O)CC1CCc2cc(CSCCS(=O)(=O)c3ccccc3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)CSCCS(=O)(=O)c1ccccc1,0.8
495,COC(=O)CC1CCc2cc(C[C@]34C[C@H]5C[C@H](C[C@H](C5)C3)C4)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)C[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,0.6
